time	V(i+)	V(i-)	V(q+)	V(q-)
0.000000000000000e+00	6.150000e-19	6.150000e-19	6.150000e-19	6.150000e-19
3.199999943845344e-13	1.163289e-18	1.163289e-18	1.163289e-18	1.163289e-18
6.399999887690688e-13	2.188874e-13	2.804940e-18	2.804940e-18	2.804940e-18
1.000000000000000e-12	8.498875e-13	5.959945e-18	5.959945e-18	5.959945e-18
3.005839947428012e-10	1.019429e-07	5.093074e-13	5.093074e-13	5.093074e-13
6.001679894856025e-10	3.830409e-07	1.915356e-12	1.915356e-12	1.915356e-12
8.997519842284037e-10	8.432947e-07	4.218150e-12	4.218150e-12	4.218150e-12
1.199335978971205e-09	1.482705e-06	7.417692e-12	7.417692e-12	7.417692e-12
1.498919973714006e-09	2.301270e-06	1.151398e-11	1.151398e-11	1.151398e-11
1.798503968456808e-09	3.298992e-06	1.650701e-11	1.650701e-11	1.650701e-11
2.098087963199608e-09	4.475869e-06	2.239680e-11	2.239680e-11	2.239680e-11
4.169107164893655e-09	1.685237e-05	8.439319e-11	8.439319e-11	8.439319e-11
7.144128017247785e-09	4.644578e-05	2.328458e-10	2.328458e-10	2.328458e-10
1.167379823467191e-08	1.130617e-04	5.677877e-10	5.677877e-10	5.677877e-10
1.780023603356551e-08	2.339476e-04	1.177697e-09	1.177697e-09	1.177697e-09
2.656593535243022e-08	4.468997e-04	2.257839e-09	2.257839e-09	2.257839e-09
3.855776321311644e-08	7.804816e-04	3.963681e-09	3.963681e-09	3.963681e-09
5.609240089830963e-08	1.304183e-03	6.676392e-09	6.676392e-09	6.676392e-09
8.219162701186272e-08	2.097401e-03	1.087125e-08	1.087125e-08	1.087125e-08
1.254406620855358e-07	3.364612e-03	1.781595e-08	1.781595e-08	1.781595e-08
2.018371085422403e-07	5.314982e-03	2.927591e-08	2.927591e-08	2.927591e-08
3.260332693863049e-07	7.289852e-03	4.318129e-08	4.318129e-08	4.318129e-08
3.787800000000000e-07	7.576365e-03	4.663227e-08	4.663227e-08	4.663227e-08
3.787803000000000e-07	7.576365e-03	4.663229e-08	4.663229e-08	4.663229e-08
3.787807000000000e-07	7.576366e-03	4.663231e-08	4.856255e-08	4.663231e-08
3.787810000000000e-07	7.576367e-03	4.663232e-08	5.145791e-08	4.663232e-08
3.787813631791603e-07	7.576367e-03	4.663234e-08	5.496291e-08	4.663234e-08
3.787817782410577e-07	7.576368e-03	4.663236e-08	5.896852e-08	4.663236e-08
3.787820000000000e-07	7.576368e-03	4.663237e-08	6.110859e-08	4.663237e-08
3.803363593703248e-07	7.576294e-03	4.670236e-08	1.413653e-05	4.670236e-08
3.818907187406496e-07	7.576220e-03	4.676636e-08	2.699491e-05	4.676636e-08
3.834450781109745e-07	7.576146e-03	4.682435e-08	3.863625e-05	4.682435e-08
3.849994374812994e-07	7.576072e-03	4.687635e-08	4.906054e-05	4.687635e-08
3.865537968516242e-07	7.575998e-03	4.692234e-08	5.826779e-05	4.692234e-08
3.881081562219490e-07	7.575924e-03	4.696233e-08	6.625800e-05	4.696233e-08
3.896625155922739e-07	7.575850e-03	4.699632e-08	7.303116e-05	4.699632e-08
3.983607897523560e-07	7.575435e-03	4.711850e-08	9.721552e-05	4.711850e-08
4.078535665850680e-07	7.574983e-03	4.713323e-08	9.975473e-05	4.713323e-08
4.193444272181622e-07	7.574435e-03	4.702730e-08	7.818884e-05	4.702730e-08
4.324601613957947e-07	7.573810e-03	4.677111e-08	2.700902e-05	4.677111e-08
4.481268036890568e-07	7.573063e-03	4.629838e-08	-6.629968e-05	4.629838e-08
4.730129440696244e-07	7.571877e-03	4.519741e-08	-2.805844e-04	4.519741e-08
5.226683352270693e-07	7.569508e-03	4.175842e-08	-9.343794e-04	4.175842e-08
6.195269050691367e-07	7.564886e-03	3.060741e-08	-2.964330e-03	3.060741e-08
7.454201316622789e-07	7.558875e-03	9.248777e-09	-6.607931e-03	9.248777e-09
7.575609999999999e-07	7.558295e-03	6.881554e-09	-6.995600e-03	6.881554e-09
7.575613000000000e-07	7.558295e-03	6.881495e-09	-6.995609e-03	6.881495e-09
7.575616999999999e-07	7.558295e-03	6.881417e-09	-6.995616e-03	6.881417e-09
7.575620000000000e-07	7.558295e-03	6.881359e-09	-6.995616e-03	6.881359e-09
7.575700000000001e-07	7.558295e-03	6.879797e-09	-6.995615e-03	6.879797e-09
7.575703000000001e-07	7.558295e-03	6.879739e-09	-6.995615e-03	6.879739e-09
7.575705579794080e-07	7.558295e-03	1.844537e-09	-6.995615e-03	6.879688e-09
7.575710000000001e-07	7.558295e-03	-1.540990e-08	-6.995615e-03	6.879602e-09
7.594477256875385e-07	7.558205e-03	-7.217217e-05	-6.995533e-03	6.518366e-09
7.613244513750770e-07	7.558115e-03	-1.431359e-04	-6.995451e-03	6.162431e-09
7.632011770626154e-07	7.558026e-03	-2.129065e-04	-6.995368e-03	5.811798e-09
7.650779027501540e-07	7.557936e-03	-2.814840e-04	-6.995286e-03	5.466467e-09
7.669546284376924e-07	7.557847e-03	-3.488685e-04	-6.995204e-03	5.126437e-09
7.688313541252308e-07	7.557757e-03	-4.150599e-04	-6.995122e-03	4.791709e-09
7.707080798127693e-07	7.557668e-03	-4.800583e-04	-6.995040e-03	4.462283e-09
7.838452097397121e-07	7.557041e-03	-9.219017e-04	-6.994464e-03	2.205030e-09
8.101194695935976e-07	7.555787e-03	-1.761150e-03	-6.993312e-03	-2.174015e-09
8.483769537471531e-07	7.553963e-03	-2.932227e-03	-6.991635e-03	-8.493718e-09
9.248919220542642e-07	7.550315e-03	-5.063165e-03	-6.988283e-03	-2.072773e-08
1.064103075044032e-06	7.543688e-03	-7.669151e-03	-6.982183e-03	-3.832791e-08
1.131556556142407e-06	7.540482e-03	-8.142972e-03	-6.979225e-03	-4.344536e-08
