time	V(i+)	V(i-)	V(q+)	V(q-)
0.000000000000000e+00	6.150000e-19	6.150000e-19	6.150000e-19	6.150000e-19
1.000000000000000e-12	2.060885e-06	1.698838e-09	1.698838e-09	1.698838e-09
4.794481058739555e-09	9.876608e-03	8.141533e-06	8.141533e-06	8.141533e-06
9.587962117479110e-09	1.971973e-02	1.625547e-05	1.625547e-05	1.625547e-05
1.438144317621867e-08	2.953144e-02	2.434350e-05	2.434350e-05	2.434350e-05
1.917492423495822e-08	3.931172e-02	3.240563e-05	3.240563e-05	3.240563e-05
2.396840529369778e-08	4.906058e-02	4.044185e-05	4.044185e-05	4.044185e-05
2.876188635243733e-08	5.877801e-02	4.845218e-05	4.845218e-05	4.845218e-05
3.355536741117688e-08	6.846403e-02	5.643660e-05	5.643660e-05	5.643660e-05
6.710979882235264e-08	1.346800e-01	1.110200e-04	1.110200e-04	1.110200e-04
1.342186616447042e-07	2.553981e-01	2.105310e-04	2.105310e-04	2.105310e-04
2.684363872894072e-07	4.203196e-01	3.464799e-04	3.464799e-04	3.464799e-04
3.581047849516146e-07	4.537541e-01	3.740407e-04	3.740407e-04	3.740407e-04
3.787800000000000e-07	4.517893e-01	3.724212e-04	3.724212e-04	3.724212e-04
3.787803000000000e-07	4.517893e-01	3.724211e-04	3.724211e-04	3.724211e-04
3.787807000000000e-07	4.517891e-01	3.724210e-04	4.517891e-01	3.724210e-04
3.787810000000000e-07	4.517890e-01	3.724209e-04	4.517890e-01	3.724209e-04
3.787812400000000e-07	4.517889e-01	3.724209e-04	4.517889e-01	3.724209e-04
3.787815599999999e-07	3.724208e-04	3.724208e-04	4.517888e-01	3.724208e-04
3.787820000000000e-07	3.724207e-04	3.724207e-04	4.517888e-01	3.724207e-04
3.975614367301724e-07	3.682639e-04	3.682639e-04	4.467461e-01	3.682639e-04
4.163408734603449e-07	3.617989e-04	3.617989e-04	4.389033e-01	3.617989e-04
4.351203101905174e-07	3.530257e-04	3.530257e-04	4.282604e-01	3.530257e-04
4.538997469206898e-07	3.419443e-04	3.419443e-04	4.148174e-01	3.419443e-04
4.726791836508623e-07	3.285547e-04	3.285547e-04	3.985743e-01	3.285547e-04
4.914586203810347e-07	3.128570e-04	3.128570e-04	3.795312e-01	3.128570e-04
5.102380571112072e-07	2.948510e-04	2.948510e-04	3.576879e-01	2.948510e-04
6.115279126848187e-07	1.682784e-04	1.682784e-04	2.041408e-01	1.682784e-04
7.575609999999999e-07	-6.788495e-05	-6.788495e-05	-8.235218e-02	-6.788495e-05
7.575613000000000e-07	-6.788546e-05	-6.788546e-05	-8.235279e-02	-6.788546e-05
7.575616999999999e-07	-6.788613e-05	-6.788613e-05	-6.788613e-05	-6.788613e-05
7.575620000000000e-07	-6.788663e-05	-6.788663e-05	-6.788663e-05	-6.788663e-05
7.575700000000001e-07	-6.790023e-05	-6.790023e-05	-6.790023e-05	-6.790023e-05
7.575703000000001e-07	-6.790074e-05	-6.790075e-05	-6.790074e-05	-6.790074e-05
7.575707000000001e-07	-6.790141e-05	-8.237215e-02	-6.790141e-05	-6.790141e-05
7.575710000000001e-07	-6.790191e-05	-8.237275e-02	-6.790191e-05	-6.790191e-05
7.695547142860452e-07	-8.794927e-05	-1.066925e-01	-8.794927e-05	-8.794927e-05
7.815384285720903e-07	-1.077437e-04	-1.307054e-01	-1.077437e-04	-1.077437e-04
7.935221428581354e-07	-1.272853e-04	-1.544116e-01	-1.272853e-04	-1.272853e-04
8.055058571441805e-07	-1.465740e-04	-1.778110e-01	-1.465740e-04	-1.465740e-04
8.174895714302256e-07	-1.656099e-04	-2.009036e-01	-1.656099e-04	-1.656099e-04
8.294732857162706e-07	-1.843928e-04	-2.236895e-01	-1.843928e-04	-1.843928e-04
8.414570000023157e-07	-2.029228e-04	-2.461685e-01	-2.029228e-04	-2.029228e-04
9.253430800046312e-07	-3.170135e-04	-3.845735e-01	-3.170135e-04	-3.170135e-04
1.064372750451765e-06	-4.250944e-04	-5.156880e-01	-4.250944e-04	-4.250944e-04
1.131664312295686e-06	-4.314642e-04	-5.234152e-01	-4.314642e-04	-4.314642e-04
1.136351000000000e-06	-4.307236e-04	-5.225168e-01	-4.307236e-04	-4.307236e-04
1.136351300000000e-06	-4.307236e-04	-5.225168e-01	-4.307236e-04	-4.307236e-04
1.136351700000000e-06	-4.307235e-04	-4.307235e-04	-4.307235e-04	-4.307235e-04
1.136352000000000e-06	-4.307235e-04	-4.307235e-04	-4.307235e-04	-4.307235e-04
1.136360000000000e-06	-4.307235e-04	-4.307235e-04	-4.307235e-04	-4.307235e-04
1.136360300000000e-06	-4.307235e-04	-4.307235e-04	-4.307235e-04	-4.307237e-04
1.136360700000000e-06	-4.307235e-04	-4.307235e-04	-4.307235e-04	-5.225167e-01
1.136361000000000e-06	-4.307234e-04	-4.307234e-04	-4.307234e-04	-5.225166e-01
1.158969889888073e-06	-4.248041e-04	-4.248041e-04	-4.248041e-04	-5.153358e-01
1.181578779776146e-06	-4.156230e-04	-4.156230e-04	-4.156230e-04	-5.041980e-01
